fm_fp,ts_fp,LedState,ts,G0,G1,Unnamed: 6,Unnamed: 7,G0-pks,G1-pks,event,event_type
17115,30463.79849,2,30007060.17,-0.2130982551197291,0.135761356732797,,,False,False,,
17117,30463.84954,2,30007070.14,-0.1846828951056795,0.1109736407460336,,,False,False,,
17119,30463.8993,2,30007080.11,-0.2326312955321359,0.0437825396925089,,,False,False,,
17121,30463.94906,2,30007090.09,-0.3586389851840335,0.0362857123994166,,,False,False,,
17123,30463.99937,2,30007100.06,-0.2596701927228799,0.0271501001639844,,,False,False,,
17125,30464.04961,2,30007110.03,-0.4024959929111406,0.0315195486143938,,,False,False,,
17127,30464.0998,2,30007120.01,-0.3619327449340465,0.0158379525924231,,,False,False,,
17129,30464.15041,2,30007129.98,-0.3640683132370466,-0.0146650883496099,,,False,False,,
17131,30464.19997,2,30007139.95,-0.3776017223883239,0.041495381421084,,,False,False,,
17133,30464.25051,2,30007149.93,-0.2563937464303986,0.0693747736940763,,,False,False,,
17135,30464.30031,2,30007159.9,-0.194842290651724,0.0758685735049937,,,False,False,,
17137,30464.35128,2,30007169.87,-0.0999874928204573,0.0873739509709702,,,False,False,,
17139,30464.40095,2,30007179.84,-0.015613242951757,0.0933275762867643,,,False,False,,
17141,30464.45082,2,30007189.82,-0.0483832274420914,0.1258689101504395,,,False,False,,
17143,30464.50122,2,30007199.79,0.0031883384332742,0.1558681921030997,,,False,False,,
17145,30464.55128,2,30007209.76,0.015869585002831,0.2292740431753868,,,False,False,,
17147,30464.60154,2,30007219.74,-0.1098044249367157,0.2143368803838654,,,False,False,,
17149,30464.65268,2,30007229.71,0.0098744590377283,0.1514080758374191,,,False,False,,
17151,30464.70176,2,30007239.68,-0.0090794905647493,0.1298704271931888,,,False,False,,
17153,30464.75251,2,30007249.66,-0.1470407159700163,0.1148424107427122,,,False,False,,
17155,30464.80205,2,30007259.63,-0.229542902407539,0.0979077662770275,,,False,False,,
17157,30464.85361,2,30007269.6,-0.2399628343979058,0.0612217706736616,,,False,False,,
17159,30464.90253,2,30007279.57,-0.2347874453565563,0.0742431790407636,,,False,False,,
17161,30464.95313,2,30007289.55,-0.1078808211460467,0.0798289411551154,,,False,False,,
17163,30465.00292,2,30007299.52,-0.0244791678882625,0.2144588651739642,,,False,False,,
17165,30465.05313,2,30007309.49,0.0667059179205629,0.296993491290559,,,False,False,,
17167,30465.1034,2,30007319.47,0.0994022400801315,0.4485375253653617,,,False,False,,
17169,30465.15411,2,30007329.44,0.0964323247469303,0.4281573456934099,,,False,False,,
